latitude longitude HitRun year month timeofcrash
41.3378791809082 -73.08402252197266 0.0 2015.0 1.0 17:03:00
41.331729888916016 -73.07666778564453 0.0 2015.0 1.0 08:38:00
41.35139083862305 -73.06727600097656 0.0 2015.0 1.0 12:53:00
41.334938049316406 -73.08783721923828 0.0 2015.0 1.0 14:20:00
41.32986068725586 -73.06423950195312 0.0 2015.0 1.0 09:35:00
41.34539031982422 -73.08905029296875 0.0 2015.0 1.0 18:13:00
41.34651184082031 -73.07637023925781 0.0 2015.0 1.0 17:17:00
41.350433349609375 -73.09090423583984 0.0 2015.0 1.0 14:57:00
41.33993911743164 -73.07777404785156 0.0 2015.0 1.0 17:21:00
41.342529296875 -73.07486724853516 0.0 2015.0 1.0 11:22:00
41.33333969116211 -73.08380889892578 0.0 2015.0 1.0 21:27:00
41.346710205078125 -73.0869369506836 0.0 2015.0 1.0 15:46:00
41.34103775024414 -73.0824203491211 0.0 2015.0 2.0 10:56:00
41.33940124511719 -73.07765197753906 0.0 2015.0 2.0 17:40:00
41.33333969116211 -73.08380889892578 0.0 2015.0 2.0 12:02:00
41.33919143676758 -73.09149932861328 0.0 2015.0 2.0 15:58:00
41.3315315246582 -73.07489776611328 0.0 2015.0 2.0 09:25:00
41.33750915527344 -73.08321380615234 0.0 2015.0 2.0 20:11:00
41.34083938598633 -73.0778579711914 0.0 2015.0 2.0 14:34:00
41.347721099853516 -73.0787582397461 0.0 2015.0 2.0 19:05:00
41.33921813964844 -73.07818603515625 0.0 2015.0 2.0 10:02:00
41.33266067504883 -73.07292938232422 0.0 2015.0 2.0 16:53:00
41.33247375488281 -73.06050872802734 0.0 2015.0 2.0 13:07:00
41.33335876464844 -73.08392333984375 0.0 2015.0 2.0 07:50:00
41.359588623046875 -73.0932846069336 0.0 2015.0 2.0 18:42:00
41.35980987548828 -73.0938491821289 0.0 2015.0 2.0 15:39:00
41.35734176635742 -73.08087921142578 0.0 2015.0 2.0 14:37:00
41.35758972167969 -73.09175872802734 0.0 2015.0 2.0 14:35:00
41.33030319213867 -73.07725524902344 0.0 2015.0 2.0 14:57:00
41.33027648925781 -73.07725524902344 0.0 2015.0 3.0 15:00:00
41.34466552734375 -73.07552337646484 0.0 2015.0 3.0 15:03:00
41.33027648925781 -73.07725524902344 0.0 2015.0 3.0 16:08:00
41.343597412109375 -73.07389831542969 0.0 2015.0 3.0 18:45:00
41.34418869018555 -73.0735855102539 0.0 2015.0 3.0 18:47:00
41.34111022949219 -73.07894134521484 0.0 2015.0 3.0 17:15:00
41.34549331665039 -73.07952117919922 0.0 2015.0 3.0 19:03:00
41.34235382080078 -73.0842514038086 0.0 2015.0 3.0 04:46:00
41.34257125854492 -73.05574798583984 0.0 2015.0 3.0 14:09:00
41.36098098754883 -73.0830078125 0.0 2015.0 3.0 17:16:00
41.352439880371094 -73.09089660644531 0.0 2015.0 3.0 17:13:00
41.34571075439453 -73.07972717285156 0.0 2015.0 3.0 18:12:00
41.33906936645508 -73.08222198486328 0.0 2015.0 3.0 21:17:00
41.33348083496094 -73.08367919921875 0.0 2015.0 3.0 15:13:00
41.345462799072266 -73.0813980102539 0.0 2015.0 3.0 09:00:00
41.8117790222168 -72.84877014160156 0.0 2015.0 1.0 15:34:00
41.7977294921875 -72.80122375488281 0.0 2015.0 1.0 14:59:00
41.81050109863281 -72.8375015258789 0.0 2015.0 1.0 15:02:00
41.81315612792969 -72.8652114868164 0.0 2015.0 1.0 15:14:00
41.80514144897461 -72.80815887451172 0.0 2015.0 1.0 15:52:00
41.812747955322266 -72.85283660888672 0.0 2015.0 1.0 12:09:00
41.78953170776367 -72.8898696899414 0.0 2015.0 1.0 15:53:00
41.778995513916016 -72.86360931396484 0.0 2015.0 1.0 19:36:00
41.778839111328125 -72.91445922851562 0.0 2015.0 1.0 15:36:00
41.81248474121094 -72.85464477539062 0.0 2015.0 1.0 14:50:00
41.78489303588867 -72.81804656982422 0.0 2015.0 1.0 17:19:00
41.81175994873047 -72.84815216064453 0.0 2015.0 1.0 14:55:00
41.802772521972656 -72.84400177001953 0.0 2015.0 1.0 17:10:00
41.80644226074219 -72.8615493774414 0.0 2015.0 1.0 15:55:00
41.7813606262207 -72.8641357421875 0.0 2015.0 1.0 17:52:00
41.80487060546875 -72.81758117675781 0.0 2015.0 1.0 15:29:00
